,식당명,리뷰수
297,이성당,25062
294,성심당 본점,20407
57,명동교자 본점,11758
296,씨엘비베이커리,10504
145,강릉짬뽕순두부 동화가든 본점,8593
173,춘천통나무집닭갈비,6358
275,나정순할매쭈꾸미,6305
288,빕스 대방점,4656
226,동동국수집,4610
158,더아리엘 목동점,4388
298,대원당,4093
253,팔당초계국수본점,3966
295,맘모스베이커리,3765
276,마복림떡볶이,3734
260,뚱보할매김밥집,3317
151,태평소국밥,3317
11,메인스트리트,3208
293,궁전제과 충장점,3146
191,한일옥,2906
186,본수원갈비,2894
266,춘심이네 본점,2875
268,원조남산왕돈까스,2803
150,일호점미역,2716
152,오씨칼국수,2662
82,팀호완 삼성점,2629
10,몽탄,2586
89,청어람 망원점,2462
118,청진옥,2362
220,오뎅식당,2234
63,조조칼국수 본점,2108
