,식당명,리뷰수
53,슬지네찐빵 슬지제빵소,2861
59,메밀꽃필무렵,2703
114,원조 유박사 곱창,1954
188,새만금횟집,1917
256,바로방,1834
40,할머니학화호두과자 터미널본점,1529
86,대선칼국수,1172
194,솔밭묵집,1150
133,서문우동,1127
212,화랑식당,1022
258,명가충무김밥 본점,1014
97,제일식당,904
26,미진돌곱창,809
169,어부신광호,737
64,북일곰탕,732
179,삼포가든,705
178,농부밥상,652
95,포항할매집,644
218,대박집,601
234,내포해물촌,553
99,오가네빵,537
173,충무로쭈꾸미불고기 충무로본점,518
110,돌담,492
50,신식당,490
23,푸른동산 한우마을,460
236,평화떡공방,448
257,이순신꿀빵,437
141,내대막국수,435
226,평대성게국수,435
2,황금떡볶이,431
