,식당명,리뷰수
118,성심당 본점,20407
122,안성휴게소(부산방향),19036
19,명동교자 본점,11758
121,망향휴게소,9606
119,금강휴게소(부산방향),7261
123,서울만남의광장(부산방향),6421
104,카페산,6242
60,하우스 베이커리,4677
100,한입소반 숙대본점,4205
11,쉐이크쉑 청담점,4194
66,제스티살룬,3326
15,일심본가콩요리,2863
49,원조남산왕돈까스,2803
53,중앙떡볶이,2592
48,몽탄,2586
47,광릉불고기,2247
126,돈까스잔치 동빙고점,2171
20,하동관명동본점,2005
85,유림 강서점,1910
68,헤이메르,1881
13,망원동즉석우동 본점,1828
107,원조순희네빈대떡,1827
35,벌집,1745
26,진미평양냉면,1734
81,온천칼국수,1554
40,맘마미아,1534
98,산골농원,1509
83,남문통닭 본점,1471
10,한남동한방통닭,1418
65,카페 차 성수점,1329
