,식당명,리뷰수
93,이성당,25062
255,문개항아리 조천본점,6079
166,장인의집,3544
139,야자수마을카페,3535
268,다우랑,3519
275,강릉갈비찜,3495
174,원조호수삼계탕,3343
281,푸른회식당,3279
98,흔들바위,2994
97,봉평메밀미가연,2799
31,일미닭강정,2413
274,또와요짬뽕,2251
22,산골항아리바베큐,2237
273,제철쌈밥,2221
280,잘빠진메밀 서촌 본점,1863
20,최미자소머리국밥,1857
138,중앙탑메밀마당,1613
260,꾸본난로회,1611
42,파인에이플러스,1516
52,배터지는게장,1499
147,그린횟집,1382
151,대보명가,1337
92,빈해원,1304
270,교동고로케,1179
118,이서방왕족발보쌈 수원본점,1172
50,미친닭 & 취하루,1153
178,나눌터,1131
292,옹기골만찬쌈밥,1113
238,춘천산속에닭갈비,1112
120,호족반,1051
