,식당명,리뷰수
218,목향원,5183
290,이진상회,4188
95,백세삼계탕,4063
84,북한산제빵소,3759
283,베이커리 밤마을,2954
176,수아당,2940
12,엘림들깨수제비칼국수,2872
256,계열사,2299
165,옹근달,2271
258,가람돌솥밥,2235
151,중앙갈치식당,1905
279,시간을 들이다,1826
70,유포리막국수,1620
268,포레스트,1577
140,청수당,1484
226,남보완해물칼국수 울산점,1412
242,코트야드 메리어트 남대문 모모카페,1384
57,송정집,1384
184,가나안국수,1371
193,솔트24,1345
1,한국집,1325
139,익선잡방,1254
20,하니칼국수,1241
286,진주냉면산홍 본점,1224
207,무탄,1210
243,릴리베이커리,1189
105,순천미향 제주산방산본점,1167
103,순금이떡볶이아차산점,1160
69,태조감자국,1147
156,두둑한한판,1121
