,식당명,리뷰수
47,연돈,2884
75,오복함흥냉면,1226
36,THE 신촌's 덮죽,1032
33,스마일닭강정,889
73,여기가좋겠네,797
42,경복식당,728
66,해미우시장,727
40,군포왕족발,725
62,갓몬스터,724
32,지니 피자,710
88,필동함박 본점,707
43,기찻길풍경 야채곱창,705
19,띠아낭,669
12,미소짓는돈까's집,611
34,헬로,600
25,사가정만두만,594
76,버거인,586
60,PS,579
15,옹기종기 감자옹심이,574
80,만스김밥,568
57,부리또만나,558
11,버거스타일,558
64,추억의집밥,490
84,시장회집,460
48,맛짱할매의 멸치국수,459
52,마몽함박,448
68,쌤김밥,436
17,킹콩파스타,426
67,맛이나식당,422
70,일운충무김밥,417
