,식당명,리뷰수
240,연경,4357
100,보스대게,2979
193,마이무,2543
273,진아떡집,2411
247,용성통닭 본점,2407
176,계열사,2299
219,을밀대 평양냉면,2298
167,오성당,2199
64,등촌 최월선칼국수,2138
113,강민주의들밥,1892
152,남포면옥,1788
213,벌집,1745
228,경기떡집,1576
225,잉글랜드왕돈까스,1520
154,산수갑산,1510
155,정은숙초당순두부,1442
145,풍미통닭,1434
130,회동집,1421
255,로타리식당,1381
73,노라바,1350
256,야바이,1346
222,은하곱창,1316
134,옛날진미국수,1279
45,국물없는우동,1224
196,한식미담길 인천공항제2여객터미널점,1193
153,동원집,1163
177,갈비1987,1144
92,미가,1124
212,혜화칼국수,1083
35,복진면,1039
