,식당명,리뷰수
254,레드브릿지,6410
225,강릉 수제 어묵고로케,6401
174,글린공원,5302
211,어거스트 힐 강남점,4598
250,삼고집 파주점,4451
101,제주오성갈치조림,4392
28,칼리오페,4066
75,카페아스타나,3604
151,러블랑,3452
255,로쏘 1924,3323
117,메인스트리트,3208
18,닭사부일체 이천본점,3140
231,더포레,2987
123,제로니모 커피하우스,2750
194,막불감동,2461
235,을밀대 평양냉면,2298
135,빵공장라뜰리에김가,2055
59,오늘제빵소,1999
12,라온숨,1917
233,대한횟집 만세튀김,1851
193,신송당,1794
162,남포면옥,1788
201,이가네떡볶이,1757
157,우스블랑,1750
91,로컬릿,1702
263,헤리베르,1684
257,중앙탑메밀마당,1613
220,용호동할매팥빙수단팥죽 본점,1573
150,숲마을,1568
213,서울앵무새,1563
