,Unnamed: 0,content,hashtag,date,like,place
0,12,평점 : ☆☆ / 후기 : 집에서 사골국물 끓여먹는 맛........역삼역 '평방옥'맛있는 녀석들의 문세윤씨의 추천 식당. 너무 기대를 했는지 모르겠지만 그냥 딱 집에서 한우사골사서 24시간 푹 끓인 맛이라 너무 실망함. 그 외 양지고기는 너무 뻣뻣하고 왠지 어제 삶은거 데워서 파는 느낌? 소면은 그저 그렇고. 확실히 MSG 맛이 전혀 안나서 깔끔한 맛은 있으나 기본적인 맛은 잡아야할듯;;#평방옥 #역삼역 #역삼역맛집 #설렁탕 #먹방 #맛집 #먹스타그램 #맛스타그램 #리뷰 #韓国 #점심 #호슐랭가이드,"['#평방옥', '#역삼역', '#역삼역맛집', '#설렁탕', '#먹방', '#맛집', '#먹스타그램', '#맛스타그램', '#리뷰', '#韓国', '#점심', '#호슐랭가이드']",2021-05-23,0.0,
1,30,#역삼 #강남 #평방옥 #설렁탕 #전문집 #맛있는녀석들 #전지적참견시점 #문세윤 #맛집 #추천 #숯불갈비 #털털이해장국 #물냉면 #맥주 #다맛있다 #맛집추천 #먹방 #먹스타그램 #음식사진 #일상 #소통,"['#역삼', '#강남', '#평방옥', '#설렁탕', '#전문집', '#맛있는녀석들', '#전지적참견시점', '#문세윤', '#맛집', '#추천', '#숯불갈비', '#털털이해장국', '#물냉면', '#맥주', '#다맛있다', '#맛집추천', '#먹방', '#먹스타그램', '#음식사진', '#일상', '#소통']",2020-07-20,0.0,
2,32,#평방옥 #역삼맛집 #물냉면 #설렁탕문세윤인가유민상이왔다간설렁탕맛집이집은큰솥에설렁탕을한소끔끓이는데이렇게직접끓이는곳에서파는냉면은언제나옳다다만짬뽕짜장처럼하나먹으면다른거도먹고싶다곱배기추가는무료이니살크업을시작해보자,"['#평방옥', '#역삼맛집', '#물냉면', '#설렁탕문세윤인가유민상이왔다간설렁탕맛집이집은큰솥에설렁탕을한소끔끓이는데이렇게직접끓이는곳에서파는냉면은언제나옳다다만짬뽕짜장처럼하나먹으면다른거도먹고싶다곱배기추가는무료이니살크업을시작해보자']",2020-06-23,0.0,
3,39,"<평방옥>맛집 계모임 2월 회동.간장 갈비찜물냉비냉맛녀석들에서 문세윤씨가 다녀왔던 곳이라고소개받고 따라가봤더니,앗점심 식사로 몇번 다녀왔던 곳.갈비찜은 먹어본적 없어서좋은 기회다 싶었다.갈비찜이 푸짐하니 좋았고,무엇보다 너무 달지않아 좋았다.물냉, 비냉도 괜찮다.음식맛도 자극적이지 않고,주인분도 서빙하시는분도친절한 곳이다.점심식사로갈비탕, 뚝불, 설렁탕도 괜찮았던 곳이다...#일상 #일상그램 #데일리스타그램 #먹스타그램 #맛스타그램 #오늘은뭐먹지 #먹방 #평방옥 #갈비찜 #물냉 #비냉 #역삼맛집 #역삼역맛집 #인스타푸드 #다이어트 #집밥 #홈메이드 #홈쿡 #간헐적단식 #건강식 #homemaid #food #yummy #delicious #foodie #foodporn #foodoftheday #foodpic #instafood #koreanfood","['#일상', '#일상그램', '#데일리스타그램', '#먹스타그램', '#맛스타그램', '#오늘은뭐먹지', '#먹방', '#평방옥', '#갈비찜', '#물냉', '#비냉', '#역삼맛집', '#역삼역맛집', '#인스타푸드', '#다이어트', '#집밥', '#홈메이드', '#홈쿡', '#간헐적단식', '#건강식', '#homemaid', '#food', '#yummy', '#delicious', '#foodie', '#foodporn', '#foodoftheday', '#foodpic', '#instafood', '#koreanfood']",2020-02-07,0.0,
4,48,#2019#마무리#평방옥#문세윤#jmt#종소리#빠염2019#돼지갈비#불판사수#비냉#가마솥#눈치#일년내내#8년내내#혼술이편해#일출#2020#일출#일찍자자#5시기상,"['#2019', '#마무리', '#평방옥', '#문세윤', '#jmt', '#종소리', '#빠염2019', '#돼지갈비', '#불판사수', '#비냉', '#가마솥', '#눈치', '#일년내내', '#8년내내', '#혼술이편해', '#일출', '#2020', '#일출', '#일찍자자', '#5시기상']",2019-12-31,0.0,
