resource,restaurant,oldestDate,reference_before,referenceDate,reference_after,mostRecentDate,blogTotal,blogDisplay,resource_count
성시경,성천막국수,2005-05-29,146,2021-06-08 00:00:00,54,2021-10-17,1490,200,1
성시경,금산제면소,2017-07-20,200,2099-12-31 00:00:00,0,2021-10-21,3192,200,0
성시경,내당한우,2013-05-27,200,2099-12-31 00:00:00,0,2021-10-20,1307,200,0
성시경,장가라라멘,2006-01-26,52,2016-09-04 00:00:00,148,2021-07-30,1148,200,30
성시경,전통아바이순대,2006-07-23,39,2015-09-07 00:00:00,161,2021-10-20,7297,200,1
신동엽,청담동 뜨락,2006-10-13,29,2017-01-19 00:00:00,171,2021-10-17,1401,200,70
신동엽,청국장서갈비,2010-09-02,71,2017-11-24 00:00:00,129,2021-10-09,2476,200,8
신동엽,태화원,2007-05-21,94,2021-02-07 00:00:00,106,2021-10-21,1812,200,23
신동엽,갯마을,2021-08-17,0,2021-08-17 00:00:00,200,2021-10-21,62432,200,1
신동엽,봉피양샤브,2011-06-06,118,2020-08-29 00:00:00,81,2021-10-17,530,200,31
신동엽,엄마손떡볶이,2006-11-12,31,2013-04-08 00:00:00,169,2021-10-19,13012,200,3
신동엽,태화원,2007-05-21,94,2021-02-07 00:00:00,106,2021-10-21,1812,200,23
신동엽,토말 본점,2011-02-04,20,2016-08-24 00:00:00,95,2021-09-15,118,200,19
신동엽,70년 소머리 국밥,2012-03-29,6,2015-11-08 00:00:00,194,2021-10-18,1189,200,51
신동엽,청주 육거리 시장,2008-02-21,200,2099-12-31 00:00:00,0,2021-10-16,10121,200,0
신동엽,몽마 베이커리,2006-05-15,154,2021-02-20 00:00:00,46,2021-09-28,418,200,3
신동엽,봉화전,2011-10-27,76,2018-11-02 00:00:00,124,2021-10-06,1000,200,9
신동엽,까치네,2006-04-02,112,2020-03-01 00:00:00,88,2021-10-21,6937,200,1
신동엽,돌곰네,2009-01-15,168,2021-01-30 00:00:00,32,2021-10-17,1536,200,1
신동엽,정가네 손칼국수,2010-07-30,156,2021-02-23 00:00:00,44,2021-10-18,1539,200,3
신동엽,대성집,2010-04-12,174,2021-09-17 00:00:00,26,2021-10-21,7443,200,1
신동엽,현고대 닭발,2005-02-19,81,2017-03-16 00:00:00,118,2021-10-19,1937,200,2
신동엽,포천곱창전골,2009-07-20,14,2016-10-17 00:00:00,186,2021-10-21,1457,200,7
신동엽,부첼리하우스,2016-12-27,25,2017-09-09 00:00:00,175,2021-10-20,1316,200,5
최자,까치둥지,2008-06-05,39,2018-08-17 00:00:00,161,2021-10-21,6995,200,31
최자,뽈살집,2009-12-26,195,2021-10-17 00:00:00,5,2021-10-21,4591,200,1
최자,오죽이네,2012-03-23,14,2018-07-20 00:00:00,186,2021-10-20,7078,200,58
최자,송파 사랑방,2009-03-02,44,2020-11-16 00:00:00,156,2021-10-21,2516,200,29
최자,황평집,2008-02-26,93,2018-11-06 00:00:00,107,2021-10-19,2084,200,9
최자,아노브,2016-06-14,65,2021-05-20 00:00:00,135,2021-10-21,1629,200,14
최자,신비갈비살,2008-08-06,140,2021-04-15 00:00:00,60,2021-10-20,2082,200,3
최자,일통이반,2014-06-29,97,2020-10-21 00:00:00,103,2021-10-18,2838,200,4
최자,산수갑산,2013-06-05,32,2017-08-02 00:00:00,168,2021-10-21,10422,200,20
최자,고미테,2004-11-06,48,2021-07-17 00:00:00,4,2021-08-22,26,200,2
최자,현정이네철판두루치기,2015-11-10,62,2017-11-09 00:00:00,138,2021-10-19,461,200,17
최자,상원냉면,2018-12-19,84,2020-07-08 00:00:00,116,2021-10-08,1240,200,5
최자,광명식당,2008-05-28,81,2019-10-17 00:00:00,119,2021-10-18,99502,200,10
최자,남영돈,2018-01-23,15,2019-08-03 00:00:00,185,2021-10-21,3306,200,9
최자,월래순교자관만두,2018-09-11,0,2018-09-11 00:00:00,200,2021-10-20,1103,200,71
최자,왕십리 장어구이,2009-06-01,143,2019-11-21 00:00:00,57,2021-10-15,1271,200,12
최자,호수집,2006-05-23,64,2016-02-03 00:00:00,136,2021-10-18,3471,200,26
최자,진옥화할매원조닭한마리,2010-03-16,124,2020-04-12 00:00:00,76,2021-10-19,2328,200,2
최자,의령식당,2013-12-12,55,2020-07-12 00:00:00,145,2021-10-16,1302,200,18
최자,고도식,2018-11-06,107,2021-06-06 00:00:00,93,2021-10-20,2307,200,1
최자,당골식당,2007-09-19,145,2020-07-26 00:00:00,54,2021-10-11,8500,200,7
최자,신논현 혜장국,2020-12-25,134,2021-08-05 00:00:00,66,2021-10-21,220,200,4
최자,아각아각,2005-04-23,86,2020-08-24 00:00:00,114,2021-10-21,8455,200,5
최자,대한옥,2015-09-30,47,2019-07-26 00:00:00,153,2021-10-19,4327,200,13
최자,고가길구공탄,2011-10-24,42,2018-06-17 00:00:00,158,2021-10-13,599,200,22
최자,우정양곱창,2018-01-02,86,2020-08-14 00:00:00,114,2021-10-14,5843,200,8
최자,이한진숙성회,2019-03-13,67,2020-04-30 00:00:00,133,2021-10-17,364,200,7
최자,호별관,2015-05-08,82,2021-08-30 00:00:00,34,2021-10-17,58,200,12
비(정지훈),부원냉면,2008-04-09,200,2099-12-31 00:00:00,0,2021-10-18,3334,200,0
비(정지훈),안춘선 배추갈비탕,2009-07-28,114,2099-12-31 00:00:00,0,2021-09-17,58,200,0
비(정지훈),노스트레스버거,2020-02-29,200,2099-12-31 00:00:00,0,2021-10-19,2128,200,0
비(정지훈),미미미 가든,2018-03-19,200,2099-12-31 00:00:00,0,2021-10-20,967,200,0
비(정지훈),돝고기,2016-03-02,200,2099-12-31 00:00:00,0,2021-10-17,1649,200,0
비(정지훈),소인수서울,2020-08-04,200,2099-12-31 00:00:00,0,2021-10-18,2239,200,0
비(정지훈),피셔맨즈,2006-11-12,200,2099-12-31 00:00:00,0,2021-10-15,10911,200,0
비(정지훈),우미남,2018-09-10,200,2099-12-31 00:00:00,0,2021-10-20,706,200,0
비(정지훈),천지식당,2006-06-06,200,2099-12-31 00:00:00,0,2021-10-13,112311,200,0
비(정지훈),막내횟집,2004-06-16,200,2099-12-31 00:00:00,0,2021-10-06,19639,200,0
비(정지훈),사선대가든,2004-07-08,198,2099-12-31 00:00:00,0,2021-10-08,240,200,0
문세윤,평방옥,2019-01-22,32,2019-12-21 00:00:00,132,2021-10-08,82,200,34
문세윤,큰맘할매순댓국,2015-04-03,94,2020-02-03 00:00:00,106,2021-10-15,1023,200,6
문세윤,서운 칼국수,2010-06-24,72,2021-03-30 00:00:00,128,2021-10-15,2737,200,16
문세윤,김북순큰잠비집,2008-01-06,90,2018-03-09 00:00:00,110,2021-10-16,842,200,13
김준현,낭만짜장,2013-08-17,200,2099-12-31 00:00:00,0,2021-10-19,8154,200,0
김준현,서유기짬뽕 ,2016-08-06,200,2099-12-31 00:00:00,0,2021-10-14,1581,200,0
김준현,주은감자탕,2009-10-23,200,2099-12-31 00:00:00,0,2021-10-18,2250,200,0
김준현,원조수구레,2008-07-17,200,2099-12-31 00:00:00,0,2021-10-21,1232,200,0
김준현,피자헤븐,2011-06-19,200,2099-12-31 00:00:00,0,2021-10-21,6464,200,0
김준현,태조석갈비,2016-08-30,200,2099-12-31 00:00:00,0,2021-10-19,1202,200,0
